lemma,group,on_list
utilize,5,academic
surgeon,5,academic
pulse,5,academic
embed,5,academic
bleed,5,academic
ruler,5,academic
leaf,5,academic
partially,5,academic
aggregate,5,academic
thesis,5,academic
monkey,5,academic
activate,5,academic
conceive,5,academic
intensive,5,academic
overlap,5,academic
manipulate,5,academic
skip,5,academic
orientation,5,academic
equality,5,academic
developmental,5,academic
articulate,5,academic
ethical,5,academic
weave,5,academic
locally,5,academic
presume,5,academic
parental,5,academic
peasant,5,academic
chronic,5,academic
flip,5,academic
sensation,5,academic
organism,5,academic
acute,5,academic
unity,5,academic
tumor,5,academic
trait,5,academic
compact,5,academic
commentary,5,academic
configuration,5,academic
modification,5,academic
instinct,5,academic
container,5,academic
likelihood,5,academic
conception,5,academic
biology,5,academic
metaphor,5,academic
audio,5,academic
closure,5,academic
dilemma,5,academic
colonial,5,academic
diagnose,5,academic
invade,5,academic
accurately,5,academic
stereotype,5,academic
specialty,5,academic
positively,5,academic
threshold,5,academic
systematic,5,academic
inject,5,academic
likewise,5,academic
liver,5,academic
hormone,5,academic
thumb,5,academic
quotation,5,academic
independently,5,academic
cheat,5,academic
super,5,academic
individually,5,academic
reproduce,5,academic
immune,5,academic
sphere,5,academic
clay,5,academic
dictate,5,academic
nucleus,5,academic
noisy,5,academic
slavery,5,academic
justification,5,academic
symbolic,5,academic
broadly,5,academic
adjacent,5,academic
specimen,5,academic
behavioral,5,academic
ancestor,5,academic
hierarchy,5,academic
electron,5,academic
rhetoric,5,academic
mathematical,5,academic
snake,5,academic
classification,5,academic
arrow,5,academic
comparative,5,academic
matrix,5,academic
empirical,5,academic
socially,5,academic
calcium,5,academic
migration,5,academic
vein,5,academic
correction,5,academic
vitamin,5,academic
adaptation,5,academic
tutor,5,academic
grid,5,academic
magnetic,5,academic
monetary,5,academic
complement,5,academic
crude,5,academic
fever,5,academic
explicitly,5,academic
vague,5,academic
credibility,5,academic
non,5,academic
differentiate,5,academic
rack,5,academic
psychologist,5,academic
noble,5,academic
conceptual,5,academic
lump,5,academic
limb,5,academic
autonomy,5,academic
membrane,5,academic
realm,5,academic
definite,5,academic
elementary,5,academic
overview,5,academic
dense,5,academic
dissolve,5,academic
magnitude,5,academic
adverse,5,academic
sustainable,5,academic
diameter,5,academic
rejection,5,academic
circulate,5,academic
shallow,5,academic
semantic,5,academic
indirect,5,academic
emergence,5,academic
circulation,5,academic
maximize,5,academic
layout,5,academic
competent,5,academic
damp,5,academic
occurrence,5,academic
marble,5,academic
momentum,5,academic
simplify,5,academic
syndrome,5,academic
complication,5,academic
supposedly,5,academic
molecular,5,academic
marginal,5,academic
philosophical,5,academic
goat,5,academic
forum,5,academic
capitalism,5,academic
tolerance,5,academic
habitat,5,academic
elevate,5,academic
viable,5,academic
maternal,5,academic
linear,5,academic
halfway,5,academic
bizarre,5,academic
atom,5,academic
impulse,5,academic
pardon,5,academic
inclusion,5,academic
toxic,5,academic
methodology,5,academic
validity,5,academic
illusion,5,academic
globalization,5,academic
pathway,5,academic
unify,5,academic
swap,5,academic
gravity,5,academic
incidence,5,academic
dependence,5,academic
cue,5,academic
athletic,5,academic
continuity,5,academic
economically,5,academic
mechanic,5,academic
horizontal,5,academic
ray,5,academic
sword,5,academic
aesthetic,5,academic
disturbance,5,academic
irrelevant,5,academic
contradiction,5,academic
orient,5,academic
monopoly,5,academic
protocol,5,academic
primitive,5,academic
minus,5,academic
philosopher,5,academic
inhibit,5,academic
hydrogen,5,academic
multiply,5,academic
dioxide,5,academic
parcel,5,academic
offspring,5,academic
technically,5,academic
prey,5,academic
valve,5,academic
shuttle,5,academic
simulation,5,academic
whereby,5,academic
standardize,5,academic
integral,5,academic
decay,5,academic
nicely,5,academic
inequality,5,academic
predominantly,5,academic
artifact,5,academic
selective,5,academic
bucket,5,academic
stripe,5,academic
utterance,5,academic
problematic,5,academic
liable,5,academic
cord,5,academic
denote,5,academic
morality,5,academic
static,5,academic
axis,5,academic
dialect,5,academic
fringe,5,academic
textbook,5,academic
unintelligible,5,academic
antibody,5,academic
bracket,5,academic
spontaneous,5,academic
fundamentally,5,academic
fusion,5,academic
correlate,5,academic
onset,5,academic
sniff,5,academic
retrieve,5,academic
sexuality,5,academic
sub,5,academic
aluminum,5,academic
critique,5,academic
epidemic,5,academic
syllable,5,academic
trauma,5,academic
comprehension,5,academic
chromosome,5,academic
transplant,5,academic
paradigm,5,academic
interestingly,5,academic
stabilize,5,academic
bilingual,5,academic
intermediate,5,academic
enzyme,5,academic
node,5,academic
nonetheless,5,academic
constrain,5,academic
analogy,5,academic
capitalist,5,academic
tech,5,academic
equilibrium,5,academic
fossil,5,academic
implicit,5,academic
undergraduate,5,academic
quantitative,5,academic
variant,5,academic
planner,5,academic
subjective,5,academic
indigenous,5,academic
pragmatic,5,academic
vowel,5,academic
basin,5,academic
composite,5,academic
differential,5,academic
kidney,5,academic
rotate,5,academic
generalize,5,academic
mentor,5,academic
rewrite,5,academic
antibiotic,5,academic
peripheral,5,academic
coherent,5,academic
reservoir,5,academic
rotation,5,academic
psychiatric,5,academic
chess,5,academic
mobility,5,academic
reproduction,5,academic
gauge,5,academic
multinational,5,academic
velocity,5,academic
optimal,5,academic
physics,5,academic
coordination,5,academic
chunk,5,academic
directive,5,academic
tricky,5,academic
manipulation,5,academic
dominance,5,academic
derivative,5,academic
predator,5,academic
replicate,5,academic
fertility,5,academic
nutrient,5,academic
evolutionary,5,academic
enormously,5,academic
grammatical,5,academic
footnote,5,academic
fatigue,5,academic
receptor,5,academic
incumbent,5,academic
diagnostic,5,academic
instability,5,academic
dye,5,academic
infinite,5,academic
synthesis,5,academic
reactor,5,academic
mediate,5,academic
radar,5,academic
detection,5,academic
degrade,5,academic
plantation,5,academic
trivial,5,academic
partition,5,academic
arbitrary,5,academic
algorithm,5,academic
approximate,5,academic
inferior,5,academic
plausible,5,academic
lexical,5,academic
optical,5,academic
triangle,5,academic
quiz,5,academic
corpus,5,academic
migrate,5,academic
polar,5,academic
spatial,5,academic
tract,5,academic
reconstruct,5,academic
industrialize,5,academic
singular,5,academic
simulate,5,academic
slash,5,academic
contradict,5,academic
cylinder,5,academic
mutation,5,academic
deficiency,5,academic
ion,5,academic
atomic,5,academic
unstable,5,academic
ecological,5,academic
rainfall,5,academic
fracture,5,academic
convergence,5,academic
sodium,5,academic
niche,5,academic
media,5,academic
neuron,5,academic
variance,5,academic
progression,5,academic
surgical,5,academic
formulation,5,academic
trajectory,5,academic
nationalism,5,academic
residue,5,academic
calculator,5,academic
photographic,5,academic
dilute,5,academic
residual,5,academic
vegetation,5,academic
synthetic,5,academic
vector,5,academic
onwards,5,academic
affirm,5,academic
resistant,5,academic
cone,5,academic
finite,5,academic
lecturer,5,academic
altitude,5,academic
differentiation,5,academic
periodic,5,academic
susceptible,5,academic
socialize,5,academic
