version: 1.0,published: 04/09/2019,date queried: 12/30/2020,grade: 1,domains: general

Word,Domain,Grade
lesson,general,1
each,general,1
solve,general,1
shape,general,1
sentence,general,1
grow,general,1
vocabulary,general,1
compare,general,1
chart,general,1
science,general,1
inquiry,general,1
addition,general,1
essential,general,1
pattern,general,1
explain,general,1
below,general,1
observe,general,1
activity,general,1
strategy,general,1
alike,general,1
resource,general,1
describe,general,1
detail,general,1
envision,general,1
large,general,1
complete,general,1
model,general,1
topic,general,1
natural,general,1
independent,general,1
predict,general,1
symbol,general,1
technology,general,1
estimate,general,1
