version: 1.0,published: 04/09/2019,date queried: 12/30/2020,grade: 2,domains: general

Word,Domain,Grade
form,general,2
event,general,2
clue,general,2
effect,general,2
amount,general,2
connect,general,2
example,general,2
reason,general,2
volume,general,2
comprehension,general,2
direction,general,2
purpose,general,2
illustrate,general,2
expository,general,2
opinion,general,2
value,general,2
contrast,general,2
during,general,2
retell,general,2
solution,general,2
contain,general,2
context,general,2
difference,general,2
design,general,2
summarize,general,2
paragraph,general,2
selection,general,2
sequence,general,2
fiction,general,2
web,general,2
mental,general,2
method,general,2
result,general,2
analyze,general,2
communicate,general,2
location,general,2
apply,general,2
classify,general,2
expand,general,2
recycle,general,2
carefully,general,2
interest,general,2
concept,general,2
infer,general,2
source,general,2
informational,general,2
process,general,2
revise,general,2
experience,general,2
correctly,general,2
preview,general,2
relate,general,2
system,general,2
investigate,general,2
toward,general,2
theme,general,2
